No.,Gene,Log(FC),Adj-Pvalue,HR,Adj-Pvalue
2683,MAP7D1,-0.223207776,0.000396774,1.51,0.001143
2684,RNF166,-0.257077672,0.000396958,1.531,0.0000234
2685,CTB-55O6.10,-0.591260693,0.00039742,0,0
2686,ZBTB34,0.186244804,0.000397436,0.8926,0.1863
2687,ERP27,0.657661562,0.000398128,0.9874,0.7192
2688,ANGPTL3,1.010559233,0.000398462,0.9032,0.00006
2689,SH3TC2,0.393344933,0.000398788,0.8846,0.05098
2690,RP11-528I4.2,-0.575883365,0.000400759,0,0
2691,TBRG4,-0.231814317,0.000401029,1.468,0.005573
2692,ACTR10,0.212729936,0.000401136,0.7607,0.001348
2693,SNHG15,-0.388163315,0.00040136,1.467,4.45E-07
2694,MITD1,-0.229343978,0.000401821,1.589,0.0001102
2695,FTH1P22,-0.643011956,0.000402945,1.026,0.4664
2696,CYBA,-0.388307492,0.000403822,1.334,0.0003263
2697,HMGB1P41,0.647409374,0.000404741,0.8201,0.002501
2698,KLHL26,0.229487657,0.000405274,0.8331,0.05535
2699,OSTN-AS1,-0.816018644,0.000405493,1.145,0.007055
2700,ACTBP7,-0.472196901,0.000406082,1.109,0.1386
2701,RP5-834N19.1,0.68250197,0.000406252,0,0
2702,PARM1,0.398747628,0.000406937,0.8175,0.0001596
2703,CTD-2371O3.3,-0.535532671,0.000407186,0,0
2704,TNFSF15,0.433981839,0.000408017,0.8862,0.03043
2705,TNFSF14,-0.694779859,0.000409293,1.2,0.00000111
2706,PITPNC1,0.29181489,0.000409929,0.7443,0.0000466
2707,ISCA1,0.236544137,0.000410286,0.7819,0.005968
2708,MMP7,-0.904589844,0.000410917,1.089,0.002971
2709,SYDE2,0.377033042,0.000411109,0.728,3.25E-08
2710,RP4-607I7.1,-0.82296402,0.000411294,0,0
2711,ZBTB6,0.245708852,0.000411545,0.7856,0.001281
2712,INTS8,-0.177055571,0.00041284,1.531,0.001326
2713,SMLR1,-0.707784719,0.000413175,0.9569,0.1564
2714,SETD8,-0.189856175,0.000414437,1.88,0.00000598
2715,TLR2,-0.3799164,0.000414945,1.148,0.02944
2716,SPTLC1,0.222675512,0.000415207,0.8057,0.00196
2717,RP11-27I1.4,0.373681113,0.000415388,0,0
2718,MEFV,-0.477778375,0.000415758,1.117,0.03455
2719,ORAI3,-0.322430556,0.000415782,1.276,0.006906
2720,SLC2A3P2,0.737712536,0.000415899,0.9055,0.0417
2721,CLNK,0.893054437,0.000415939,0.9836,0.5782
2722,CTD-2666L21.1,0.472334609,0.000416064,0,0
2723,NR2C2AP,-0.249494247,0.000416487,1.394,0.005741
2724,CDC42BPG,0.401766329,0.000418468,0.7954,0.0000145
2725,NUTF2,-0.272511389,0.000419807,2.018,5.54E-08
2726,PCDHAC1,0.532185276,0.000420429,0.8483,0.0002176
2727,FAM179B,0.24061912,0.000420819,0.7893,0.001905
2728,RP3-460G2.2,-0.661900682,0.000422173,0,0
2729,ECM1,-0.479193192,0.000422871,1.255,0.0002298
2730,COL5A1,-0.628431614,0.00042358,1.208,0.0000361
2731,VWF,0.474032964,0.000423626,0.8808,0.0006433
2732,NCOA4,0.249032397,0.000426182,0.7366,0.00000108
2733,RP3-337H4.6,-0.369186727,0.000426777,0,0
2734,AP2A1,-0.187121599,0.000427094,1.375,0.01641
2735,OXCT1,0.524778434,0.000427424,0.8973,0.03334
2736,CCDC149,0.178729915,0.000427708,0.8113,0.01905
2737,UNC80,0.673694211,0.000427945,0.9182,0.07522
2738,AC005532.5,-0.597001707,0.000428754,0,0
2739,C22orf46,-0.230481908,0.000428764,1.142,0.1662
2740,KIAA1024,-0.440051482,0.000429242,1.355,0.00000288
2741,BANF1,-0.291599897,0.000429579,1.892,6.12E-07
2742,XXbac-B135H6.15,-0.412027857,0.000429968,0,0
2743,ZNF582,0.343375453,0.000429975,0.8247,0.002564
2744,POPDC2,0.371662075,0.00043078,0.8739,0.03693
2745,PTGER1,-0.96335649,0.000431254,1.072,0.001732
2746,LINC00675,0.782343275,0.000432415,0.9876,0.6397
2747,CMTM4,0.442640114,0.000432807,0.879,0.01323
2748,C18orf25,0.192349406,0.000433665,0.8505,0.1215
2749,SNX13,0.298830564,0.00043435,0.79,0.001969
2750,MBTPS1,0.135469479,0.000434938,0.8298,0.05595
2751,ZNF662,0.539061925,0.000435115,0.9792,0.6682
2752,PCDHA13,0.72264755,0.000436076,0.8606,0.0009858
2753,TRBJ2-2P,-0.615057819,0.000436266,0.9791,0.7265
2754,ATP1A1-AS1,0.280795038,0.000436599,0.7352,0.0000741
2755,RP11-5C23.2,-0.349612341,0.000436825,0,0
2756,TRAV8-3,-0.606440204,0.000436993,1.034,0.4532
2757,MANSC1,0.309949168,0.000438081,0.7761,0.0001265
2758,GPX8,-0.373091279,0.000438896,1.257,0.002288
2759,FAM3B,0.795679915,0.00043937,1.003,0.8995
2760,RNASE3,-0.620832803,0.000439378,1.126,0.02276
2761,CENPU,-0.341026852,0.000441688,1.143,0.05161
2762,HKDC1,-0.501126991,0.000443031,1.065,0.2579
2763,UGDH,-0.308697074,0.000444352,1.222,0.04018
2764,AC091729.9,-0.310532717,0.000445714,0,0
2765,KXD1,-0.171090979,0.000446112,1.519,0.003472
2766,SERPINC1,0.935276895,0.000446257,1.021,0.6077
2767,DSTNP2,-0.245833388,0.000446734,1.292,0.01541
2768,FAM227B,0.229983992,0.00044741,0.7639,0.001241
2769,RP4-631H13.6,0.592939136,0.000448021,0,0
2770,WWTR1-IT1,0.810992261,0.000448875,1.109,0.05618
2771,ELK1,-0.215911546,0.000449776,1.227,0.1057
2772,WIBG,-0.211329541,0.000449806,1.48,0.01025
2773,P2RY6,-0.459134195,0.000449837,1.312,0.0000158
2774,ZNF175,0.184128431,0.000449846,0.854,0.06063
2775,RIMS2,1.071749486,0.000449999,1.085,0.006159
2776,DDX24,0.188909994,0.00045087,0.8273,0.02992
2777,PXK,0.447375117,0.000451274,0.9552,0.4822
2778,IL9R,-0.530301403,0.000451619,1.107,0.0343
2779,VPS13B,0.288464596,0.000452076,0.8233,0.005433
2780,LINC00571,0.462860043,0.000452288,0.8081,0.0000852
2781,GS1-124K5.4,-0.376516818,0.000454365,1.382,0.0002152
2782,GPRIN3,0.381747069,0.000454799,0.8025,0.0001838
2783,ZDHHC14,0.290316577,0.000454913,0.9421,0.4434
2784,ARL6,0.338341494,0.000455244,0.7956,0.00153
2785,RP13-216E22.4,0.456538051,0.000455387,0,0
2786,FCRL3,-0.661765727,0.000457691,0.9982,0.9603
2787,FAM184B,0.624722176,0.000457752,1.067,0.1711
2788,AP5M1,0.284951136,0.000458487,0.8055,0.004862
2789,SPI1,-0.382239988,0.000460268,1.165,0.008588
2790,PFN1,-0.253731584,0.000460931,1.576,0.0001412
2791,HFE2,-0.808869343,0.000461506,1.115,0.002952
2792,MT-TT,0.791234373,0.000462029,0,0
2793,RP11-59N23.1,0.535791153,0.000462699,0,0
2794,PAQR5,0.403293251,0.000462707,0.7888,1.35E-07
2795,RNF34,-0.120406119,0.000464167,1.538,0.006683
2796,DPY19L2P1,-0.837494076,0.000465009,1.1,0.002932
2797,MAGOHB,-0.225922001,0.000465821,1.783,0.0000151
2798,PPP1R2P1,-0.46642857,0.000466872,1.029,0.6882
2799,RP11-1252D15.1,0.39624233,0.00046872,0,0
2800,RP11-422P24.10,-0.342950345,0.000468983,0,0
2801,DDAH1,0.347867347,0.000469086,0.7306,1.09E-08
2802,GBP2,-0.356760696,0.000471037,1.189,0.007434
2803,ADORA1,-0.69529916,0.000471841,1.108,0.008693
2804,RAMP3,0.4484954,0.000471872,0.745,4.09E-09
2805,EIF4B,0.243929248,0.000472128,0.7861,0.0002513
2806,HIGD1A,0.457071729,0.000472708,0.9687,0.6137
2807,ZNF280D,0.181272206,0.000473266,0.8189,0.04175
2808,PBX4,-0.505504561,0.000473946,1.276,0.0000389
2809,COPS4,0.218520364,0.000474028,0.7252,0.0001243
2810,NRD1,-0.130951338,0.000474417,1.375,0.02548
2811,CITF22-1A6.3,-0.332652947,0.000475178,0,0
2812,TRMT2A,-0.25443493,0.000475824,1.455,0.002574
2813,TSPO,-0.361673167,0.000477365,1.448,0.0003749
2814,MEIS3P1,0.414408905,0.000477589,0.8953,0.0123
2815,RP11-983P16.2,0.682698125,0.00047811,0,0
2816,PREPL,0.207211429,0.000478925,0.8332,0.01443
2817,IDH1,-0.299423876,0.000479888,1.008,0.923
2818,RNASEH2A,-0.274194769,0.000480018,1.309,0.01366
2819,RP11-568K15.2,0.732441053,0.000480727,0,0
2820,CTSW,-0.530956252,0.000481234,1.061,0.156
2821,ANKS3,-0.298588566,0.000481556,1.373,0.002702
2822,DDIT4L,0.659278744,0.00048173,0.9085,0.00844
2823,ITGA9-AS1,0.338184322,0.000484534,0.8291,0.01024
2824,SLC39A8,0.344239602,0.000485878,0.7814,0.0000718
2825,BPTF,0.234454162,0.000486067,0.8389,0.01546
2826,SCARNA5,0.984205709,0.000487564,1.041,0.2326
2827,SUCLG2P2,0.36295936,0.000487629,0.8486,0.009294
2828,RP13-714J12.1,-0.879996743,0.000488118,0,0
2829,GPX2,0.69970988,0.000490058,1.085,0.05004
2830,NR2F6,-0.305006938,0.000490216,1.374,0.006346
2831,CTXN1,-0.674978146,0.000491535,1.223,0.00000726
2832,FAM50A,-0.287067217,0.000491787,1.579,0.0002262
2833,LGALS9,-0.340804453,0.000492572,1.172,0.01306
2834,RNF220,-0.149057429,0.00049292,1.446,0.01933
2835,DMD,0.37060946,0.000493401,0.8725,0.03917
2836,IGLV7-43,-0.974809265,0.000494514,1.033,0.2446
2837,CTD-2547L16.1,0.356381985,0.000494797,0,0
2838,MEP1B,0.692091948,0.000495665,0.9233,0.1962
2839,VMO1,-0.443173423,0.000496132,1.394,0.00000706
2840,ZNF559,0.232836439,0.000496421,0.8905,0.2186
2841,GPC2,-0.509683126,0.000496433,1.306,0.0000029
2842,CTD-2310F14.1,0.317060181,0.000498062,0,0
2843,DYNC2H1,0.316502132,0.000498616,0.8311,0.0007176
2844,RP11-736K20.4,0.38846637,0.000499307,0,0
2845,FUT8,-0.313950135,0.000499536,1.169,0.104
2846,WNT5A-AS1,-0.600498671,0.000500084,1.057,0.2909
2847,CASC16,0.912921237,0.000500162,0.9635,0.4181
2848,UTP14C,0.243445314,0.000500562,0.7715,0.0000495
2849,CD244,-0.40947208,0.000500632,1.051,0.3285
2850,AC012065.5,0.527102254,0.000501125,0,0
2851,RP11-342D14.1,0.655735388,0.000501435,0,0
2852,TMC4,0.722582011,0.000501766,0.9966,0.9231
2853,ZC3HC1,-0.200253045,0.000502036,1.152,0.2146
2854,MFSD5,-0.237188065,0.000502106,1.543,0.001629
2855,ZDHHC15,0.542753993,0.000503657,0.8497,0.0000405
2856,KLRC2,-0.675104539,0.000504023,1.28,0.00000145
2857,AGAP2-AS1,-0.457433673,0.000504729,1.34,0.00000562
2858,KLHDC1,0.315535783,0.000504767,0.8983,0.1554
2859,CHD6,0.190535801,0.00050617,0.8552,0.05898
2860,WWC2-AS2,0.35279447,0.000506838,0.8124,0.0002651
2861,NME1,-0.365121053,0.000507139,1.75,5.82E-10
2862,BAIAP3,0.411280248,0.000507261,0.9215,0.1723
2863,JAM3,0.340803918,0.000507691,0.8305,0.004583
2864,PPP2R3B,-0.313885894,0.000507948,1.593,0.00000418
2865,AKNA,-0.319525343,0.000508941,1.108,0.1592
2866,OCIAD1,0.19476224,0.000509185,0.8443,0.1081
2867,ITGAL,-0.438879285,0.000509242,1.056,0.2508
2868,CD70,-0.739663915,0.000509272,1.024,0.2536
2869,RP11-44M6.7,-0.447109438,0.000510062,0,0
2870,RP11-672A2.4,0.446874669,0.000510408,0,0
2871,TRIM47,-0.309010939,0.000510517,1.371,0.00114
2872,RP11-307C12.11,-0.439117542,0.000510665,0,0
2873,AC061992.2,-0.437214165,0.000511943,0,0
2874,HS1BP3-IT1,0.592373104,0.000512157,0.8219,0.0000653
2875,RUFY1,-0.150837382,0.000512656,0.9964,0.9744
2876,FEZ2,0.187888567,0.00051298,0.8509,0.07946
2877,RP4-585I14.3,-0.563034794,0.000513207,0,0
2878,PRR5-ARHGAP8,0.591618732,0.000513529,0.8401,0.001298
2879,IGHG3,-0.989530839,0.000513837,1.098,0.0002723
2880,AP5Z1,-0.240549508,0.000514149,1.564,0.0003188
2881,TOMM20P2,-0.530099303,0.000514356,1.057,0.2879
2882,LIFR,0.409625804,0.000515015,0.7994,0.00000546
2883,LMBRD2,0.293401499,0.000515903,0.7947,0.0006176
2884,GZMK,-0.667933956,0.000515975,1.03,0.3581
2885,DUSP2,-0.536369129,0.000516107,1.108,0.03613
2886,DOK5,0.593512405,0.000516265,1.014,0.764
2887,RP4-616B8.4,-0.569212935,0.00051631,0,0
2888,POP7,-0.266844911,0.000516439,1.773,0.0000401
2889,UBE4A,0.213063182,0.000518097,0.767,0.002783
2890,RP11-893F2.18,0.401192573,0.000518295,0,0
2891,PRKRIP1,-0.217225294,0.000520557,1.57,0.0005451
2892,RP11-524D16__A.3,-0.808729504,0.000522651,0,0
2893,EPCAM,0.559660603,0.000523086,0.9279,0.04106
2894,RP11-483P21.6,0.67173779,0.000523419,0,0
2895,SASH3,-0.383088115,0.000523684,1.07,0.1695
2896,PHF3,0.224552124,0.000523747,0.8107,0.002162
2897,CLEC2D,-0.426778063,0.000524555,1.275,0.0000356
2898,RP11-75A9.3,0.594920695,0.000525048,0,0
2899,TCF4,0.37444496,0.000525764,0.8413,0.003766
2900,ZNF415,0.361504804,0.000526121,0.8414,0.01224
2901,SYCP3,0.561308071,0.000527182,0.9887,0.8578
2902,RP11-104O19.4,-0.615669455,0.000527785,0,0
2903,AC010761.13,0.599704922,0.000528099,0,0
2904,GDF5,-0.874266265,0.000531318,1.248,5.99E-08
2905,ZNF204P,0.461655542,0.000532286,0.8728,0.001409
2906,CNPY3,-0.239008091,0.00053272,1.772,0.00000853
2907,RP11-177C12.1,0.348559974,0.000534063,0,0
2908,CTD-2083E4.7,1.022929045,0.000534298,0,0
2909,SDF2L1,-0.389590477,0.000534569,1.395,0.0002048
2910,AC083843.1,0.506192338,0.00053544,0,0
2911,GPR137,-0.255546357,0.000535588,1.719,0.0001588
2912,NBPF3,0.326983558,0.000535795,0.867,0.01535
2913,DYNLL2,0.222664392,0.000536058,0.7946,0.003406
2914,LHB,-0.724657549,0.000536379,1.419,6.15E-08
2915,PRKCB,-0.422726791,0.000536525,1.035,0.5315
2916,EVC,0.399120757,0.000536579,0.8574,0.0003157
2917,GSN-AS1,0.606061607,0.000536826,1.001,0.9805
2918,C9orf3,0.259118377,0.000537098,0.8163,0.02183
2919,C2CD4A,-1.004550896,0.000537342,1.141,7.61E-07
2920,GIPC3,0.383548745,0.000538053,0.8316,0.002103
2921,CCDC109B,-0.379390399,0.000538093,1.243,0.001048
2922,RP11-368N21.5,0.38277348,0.000538763,0,0
2923,FAM120A,0.18880438,0.000538864,0.7614,0.001962
2924,ARFGAP1,-0.292655589,0.000539696,2.001,3.26E-10
2925,PLCB2,-0.405086223,0.000540443,1.164,0.006375
2926,HBP1,0.241459754,0.000540842,0.7461,0.0000026
2927,RP11-126K1.6,-0.33839459,0.000541356,0,0
2928,RP4-575N6.5,0.435142024,0.000541434,0,0
2929,HSPA7,-0.621711054,0.00054521,1.15,0.0001527
2930,ANO4,0.724148729,0.000545561,0.9099,0.003578
2931,TMEM246-AS1,0.831842885,0.000546789,0.9094,0.001259
2932,RRBP1,-0.263224072,0.000546965,1.403,0.003577
2933,SH3BGRL2,0.30999956,0.000547397,0.7291,1.73E-07
2934,COMMD5,-0.233298605,0.000547488,1.723,0.0005095
2935,TXLNA,-0.161831607,0.000548596,1.495,0.004007
2936,C19orf12,-0.178840078,0.00054936,0.9511,0.6985
2937,SPOPL,0.251886477,0.000549504,0.784,0.0001173
2938,CD80,-0.501096561,0.000550105,1.142,0.005507
2939,FHDC1,0.569592198,0.000551234,0.9923,0.8916
2940,MT-TF,0.778181981,0.000551425,0,0
2941,RP11-701H24.4,0.579743598,0.000551909,0,0
2942,MPST,-0.355826605,0.000553418,1.154,0.1289
2943,ACTN1-AS1,-0.682778727,0.000553858,1.406,4.27E-08
2944,TAPBP,-0.248766698,0.000555164,1.13,0.1514
2945,ZBTB12,-0.248224629,0.000555297,1.335,0.003159
2946,KIAA0586,0.198462599,0.000556389,0.7986,0.0133
2947,PCYOX1,0.252561297,0.000556756,0.7493,0.0000129
2948,ERCC6L2,0.280435066,0.000558786,0.7939,0.002149
2949,MPC1,0.381815446,0.000559472,0.8416,0.01069
2950,EIF2B1,-0.108303884,0.000560621,1.515,0.00933
2951,HCN2,0.734149875,0.000560683,1.1,0.005438
2952,IL17RE,0.457612448,0.000561706,0.9929,0.899
2953,BEX4,0.350188066,0.000561868,0.8181,0.0005986
2954,ARPP19,0.181096901,0.000563283,0.7528,0.001492
2955,ZRANB2-AS2,0.390561785,0.000564411,0.792,0.0006838
2956,TUBB3,-0.752843908,0.00056467,1.27,1.19E-10
2957,PLA2G12A,0.253897175,0.000565275,0.7644,0.002255
2958,ADAMTS6,-0.486809097,0.000565362,1.145,0.01893
2959,RP11-298J20.4,0.411445004,0.000565626,0,0
2960,CHMP5,0.233342835,0.000566993,0.7806,0.001248
2961,LINC00271,0.38854961,0.000567532,0.8331,0.0007605
2962,EPN2,0.18350223,0.000567935,0.85,0.08372
2963,PDCD2L,-0.245012781,0.000568122,1.646,0.0000398
2964,TCF7L1,0.308225254,0.000569481,0.8841,0.09327
2965,SIGLEC11,-0.553894343,0.000570094,1.066,0.1674
2966,PPP1R26P1,0.705637373,0.00057247,0.9273,0.1473
2967,CIDEC,-1.16193181,0.00057273,1.094,0.0004883
2968,NOSTRIN,0.337521778,0.000574272,0.7567,0.00000938
2969,KCNJ6,-0.931358058,0.000574724,1.163,0.000081
2970,CYP51A1,0.419879807,0.000574874,0.8131,0.00000823
2971,ERMP1,0.340009047,0.000574976,0.8639,0.0138
2972,RP5-907D15.4,-1.008094757,0.000575264,0,0
2973,ZNF836,0.222587843,0.000575578,0.6946,0.0000383
2974,CXCL10,-0.62152105,0.000576259,1.026,0.4845
2975,HELLS,-0.325839634,0.000578486,1.368,0.0003421
2976,ITPKB,0.282238037,0.000578525,0.8228,0.004502
2977,BCKDHB,0.346499073,0.000581001,0.8638,0.02233
2978,FBXO34,0.235702145,0.000581211,0.7818,0.0003967
2979,PSMD4,-0.202350817,0.000581472,1.535,0.003647
2980,CHRM4,-0.583542767,0.000581545,1.133,0.0242
2981,BUB3,-0.152908282,0.000581589,1.165,0.2671
2982,ATG14,0.195124873,0.000581971,0.8401,0.07198
2983,SEC31B,-0.560203604,0.000582084,1.221,0.0000573
2984,FBN3,1.162007075,0.000582364,1.008,0.7527
2985,ZNF14,0.198579702,0.000583211,0.6923,0.0000122
2986,PANX1,-0.266117478,0.000583545,1.153,0.1285
2987,MBLAC2,0.246054462,0.000584249,0.7764,0.0002522
2988,SH3BP1,-0.343019666,0.000584363,1.235,0.002109
2989,MED21,0.237939702,0.000585096,0.7918,0.004012
2990,SMC4,-0.276816718,0.000587674,1.137,0.1406
2991,PPM1L,0.45400125,0.000588407,0.8475,0.006934
2992,RNU6-722P,-0.35273018,0.000588602,1.39,0.0004844
2993,TRAV24,-0.865995726,0.000589696,1.035,0.3593
2994,GLTSCR1L,0.229348434,0.000590325,0.8126,0.00302
2995,LINC01480,-0.523984159,0.000591871,1.211,0.0001149
2996,CARS2,-0.24589716,0.000592314,1.86,0.00000205
2997,LAMB2,0.270795736,0.000592931,0.7598,0.0003149
2998,RARRES3,-0.468567437,0.000593084,1.118,0.08162
2999,RBMS2,0.212196973,0.000593196,0.831,0.01608
3000,BATF2,-0.351319531,0.000593485,1.039,0.6208
3001,WARS2,0.205661038,0.000594062,0.7171,0.000125
3002,EFNB2,0.377926094,0.000594068,0.7859,0.00000377
3003,LLNLR-268E12.1,-0.490094738,0.00059531,0,0
3004,RP4-791C19.1,0.43188147,0.000595507,0,0
3005,GMPPA,-0.244077147,0.000596384,1.495,0.0009651
3006,DLAT,0.265171335,0.00059705,0.7758,0.0007919
3007,DLGAP1-AS1,-0.294308538,0.000597772,1.353,0.0008899
3008,MED13L,0.255342759,0.000598878,0.8964,0.1444
3009,C15orf27,-0.572329052,0.00059938,1.178,0.001817
3010,AC104820.2,-0.65088273,0.000599631,0,0
3011,RHEB,-0.253637874,0.000599957,1.391,0.005882
3012,CNN2,-0.324056185,0.000600355,1.412,0.0001259
3013,LIPJ,-0.551238063,0.000601435,1.073,0.2392
3014,AC007879.7,-0.527555233,0.000601714,0,0
3015,PIP5K1B,0.518766519,0.00060273,0.8623,0.000604
3016,TGM3,-0.679038953,0.00060286,1.256,6.20E-07
3017,AC013472.3,0.933380046,0.000604989,0,0
3018,FAM101B,0.399978565,0.000607521,0.8617,0.01394
3019,ZNF420,0.1945785,0.000608129,0.6657,0.0000132
3020,MT1XP1,-0.633721535,0.000609693,1.217,0.0001199
3021,LY6K,0.677208114,0.000610485,1.104,0.01253
3022,TSPY26P,0.47632438,0.000610656,0.931,0.1943
3023,TTC9,0.427898747,0.000611064,0.8174,0.0006023
3024,RN7SL181P,0.497648904,0.000612129,0.8338,0.004101
3025,PRAME,-1.000633015,0.000612896,1.117,0.00000454
3026,FAM13B,0.226151571,0.000613572,0.7602,0.0001545
3027,TRAV1-2,-0.70570194,0.000614409,0.9763,0.5383
3028,RP11-968O1.5,0.429473493,0.000616048,0,0
3029,CACNA1A,-0.446008934,0.000617492,1.196,0.006258
3030,TRAPPC6B,0.234987178,0.000619914,0.8806,0.1954
3031,SLC26A4-AS1,0.886751694,0.000621992,0.9928,0.8742
3032,RP11-53B2.6,0.557060467,0.000622923,0,0
3033,CENPO,-0.21167544,0.000622945,1.505,0.0003146
3034,CCT3,-0.18143562,0.000623144,1.331,0.03628
3035,MGME1,-0.156676612,0.000624419,1.28,0.07328
3036,ZNF541,-0.65822892,0.000625492,0.9217,0.07215
3037,CSGALNACT1,0.420707793,0.000626113,0.8804,0.0533
3038,TPSD1,0.820905796,0.00062626,0.9052,0.0004153
3039,RWDD4P1,0.503489843,0.000626544,0.9181,0.2651
3040,SNHG3,-0.42898168,0.000627364,1.605,3.85E-11
3041,SCAI,0.277708469,0.00062811,0.8941,0.2155
3042,SGIP1,0.532186961,0.000628238,1.014,0.7718
3043,CCT6A,-0.190631896,0.000628644,1.198,0.1479
3044,IQCH,0.332173288,0.000630759,0.9008,0.1274
3045,ZNF212,-0.142130362,0.000631328,1.186,0.2206
3046,FBXO21,0.274877242,0.000633804,0.7272,0.0000118
3047,PA2G4,-0.161060907,0.000634021,1.585,0.002759
3048,CNPY2,-0.240770681,0.000634567,1.922,0.00000348
3049,TMOD2,0.352165817,0.000634836,0.8016,0.0003851
3050,MCM6,-0.217341904,0.00063581,1.224,0.06527
3051,SGSM1,0.484226036,0.00063877,0.7834,1.45E-07
3052,RP11-131L12.3,-0.394649269,0.00064032,0,0
3053,RP11-506K6.4,0.544157534,0.000642399,0,0
3054,MLANA,0.438998008,0.000642718,0.9461,0.4014
3055,ETFDH,0.262392737,0.000642952,0.7186,0.0000138
3056,RP11-815J21.4,0.576065308,0.000645553,0,0
3057,UNC119B,0.261968115,0.000648402,0.7927,0.0005838
3058,AVPR1B,0.697231734,0.000648781,0.9019,0.000237
3059,SLK,0.234643963,0.000649731,0.7703,0.0000712
3060,PRIM2,-0.167625233,0.000650063,1.164,0.2201
3061,PER1,0.367471202,0.000651152,0.876,0.03927
3062,GBP1P1,-0.459941459,0.000651545,1.058,0.3249
3063,RP11-644F5.15,-0.778028502,0.000652837,0,0
3064,RP1-198K11.5,-0.336396502,0.000653814,0,0
3065,ZNF24,0.193195454,0.000654082,0.7836,0.004036
3066,PRDX2,0.303232687,0.000654765,0.8185,0.005552
3067,AL022344.7,0.557014307,0.00065576,0,0
3068,CDRT15P1,-0.479788054,0.000655834,1.345,0.00000985
3069,RCCD1,-0.230890291,0.000657196,1.605,0.0000606
3070,FAM132A,-0.527613015,0.000657746,1.052,0.3592
3071,INTS6P1,0.572532097,0.000658868,0.7926,0.000091
3072,EPC2,0.177091548,0.000660104,0.8285,0.01479
3073,DRP2,-0.630883159,0.00066228,1.263,8.13E-07
3074,LYAR,-0.184179149,0.000663338,1.322,0.01864
3075,SNRPE,-0.204470309,0.00066334,1.121,0.3604
3076,RP11-465B22.3,-0.516216374,0.000663923,0,0
3077,CBX8,-0.277098691,0.00066418,1.548,0.0000236
3078,RP11-326I11.5,-0.605790971,0.000664802,0,0
3079,PHKB,0.196364499,0.000665468,0.749,0.002032
3080,VTI1B,0.204911309,0.000666757,0.8053,0.01211
3081,DHRS4,0.292641024,0.000667407,0.7993,0.001413
3082,RP11-14N7.2,-0.487486485,0.000670147,0,0
3083,RAPH1,0.39643664,0.000670219,0.8825,0.009262
3084,PEAR1,0.381366721,0.000671401,0.8424,0.002166
3085,SEC61A1,-0.215973604,0.000672557,1.448,0.002237
3086,CTD-2165H16.4,-0.541334691,0.000673721,0,0
3087,SIAH2-AS1,0.520118104,0.000674452,0.7821,0.0000709
3088,RP11-266L9.5,0.420551346,0.000676163,0,0
3089,TFAP4,-0.252335351,0.00067622,1.408,0.001048
3090,RP11-616M22.12,-0.801674536,0.000677208,0,0
3091,RP13-582O9.7,-0.464711232,0.000677934,0,0
3092,FLAD1,-0.217160464,0.000678468,1.991,0.00000607
3093,FCGR3A,-0.451946016,0.000679185,1.086,0.04368
3094,RP11-283G6.6,-0.630147034,0.000679808,0,0
3095,TET2,0.249668535,0.000681156,0.8211,0.00771
3096,RP11-456P18.2,-0.44987762,0.00068138,0,0
3097,ZNF555,0.22868353,0.000681516,0.7214,0.0002373
3098,RP11-96H17.1,0.935930709,0.000681534,0,0
3099,ITGB6,-0.627099774,0.000684545,1.075,0.04875
3100,ZNF614,0.307186045,0.000684964,0.7778,0.0001864
3101,EFHD2,-0.288554974,0.000685396,1.326,0.001969
3102,HMGCS2,0.999244091,0.000685856,0.9149,0.00000467
3103,ORC4,0.201837894,0.000686228,0.7521,0.00152
3104,ANGPT1,0.494684094,0.000687966,0.842,0.0009647
3105,RP11-314O13.1,-0.455674977,0.000688631,0,0
3106,GSDMB,-0.550806229,0.000689339,1.326,1.92E-08
3107,NEDD9,0.378293706,0.000690696,0.7917,0.0000457
3108,ZIK1,0.350814074,0.00069269,0.7994,0.000073
3109,SPIRE1,0.335188283,0.000693939,0.8378,0.00298
3110,LRRC19,0.674275933,0.000694249,0.8575,7.05E-08
3111,TMLHE,0.198021179,0.000698043,0.7816,0.0008369
3112,VOPP1,-0.213027532,0.000698592,1.506,0.001133
3113,TMEM30A,0.213695792,0.000699096,0.8655,0.07512
3114,EIF4E3,0.239655625,0.00069956,0.7345,0.0000338
3115,C8orf88,0.477569487,0.000699962,0.9284,0.1199
3116,CALR,-0.227456292,0.000700324,1.517,0.0007998
3117,C19orf52,-0.153483453,0.000703053,1.349,0.0601
3118,ING3,0.215951132,0.000703062,0.7241,0.0001881
3119,LAMTOR2,-0.315661409,0.000704469,1.712,0.0000219
3120,WDFY3-AS2,0.341775131,0.000705339,0.7916,0.0000457
3121,P2RX5,-0.614931653,0.000705468,1.234,0.00000518
3122,B3GNTL1,-0.30791837,0.000706782,1.953,1.35E-11
3123,SCUBE1,0.597603808,0.000707191,0.9325,0.1002
3124,ZNF582-AS1,0.446806613,0.000708502,0.8817,0.0281
3125,MEI4,0.790971323,0.000709564,0.9424,0.01381
3126,GAFA3,0.358745123,0.000709818,0,0
3127,ATG2B,0.218724508,0.000712252,0.9015,0.1689
3128,KLRF1,0.425435831,0.000714254,0.8773,0.01503
3129,RBM11,0.870813155,0.00071518,1.002,0.9357
